"timestamp","feedback","upvotes","downvotes"
"2025-05-13 03:58:42","Bad event.","2","9"
"2025-06-08 08:18:42","Unsatisfactory.","3","3"
"2025-04-27 09:58:42","Bad event.","2","2"
"2025-06-30 06:55:42","Could be much better.","2","10"
"2025-05-25 08:55:42","Very disappointed.","2","9"
"2025-04-30 04:38:42","Did not like it.","2","2"
"2025-06-06 08:27:42","Did not like it.","0","7"
"2025-05-11 07:31:42","Regret attending.","1","7"
"2025-05-13 18:43:42","Waste of time.","3","5"
"2025-05-02 16:54:42","Not happy.","2","9"
"2025-05-17 16:01:42","Poorly organized.","0","4"
"2025-05-15 18:24:42","So-so.","0","0"
"2025-05-04 07:54:42","Could be much better.","0","4"
"2025-05-05 10:46:42","Very disappointed.","3","4"
"2025-06-24 12:53:42","Unsatisfactory.","1","8"
"2025-06-08 10:03:42","Very happy.","1","1"
"2025-05-08 23:32:42","Neutral thoughts.","0","2"
"2025-04-29 00:52:42","Regret attending.","1","2"
"2025-05-22 14:42:42","Could be much better.","1","10"
"2025-05-19 12:18:42","Could be much better.","0","10"
"2025-05-14 18:49:42","Very disappointed.","0","9"
"2025-05-17 05:00:42","Neutral thoughts.","0","1"
"2025-06-26 10:41:42","Waste of time.","0","9"
"2025-05-07 02:26:42","Waste of time.","0","7"
"2025-05-21 00:06:42","Poorly organized.","0","3"
"2025-05-22 07:29:42","Loved it!","6","3"
"2025-04-26 16:36:42","Bad event.","1","7"
"2025-05-19 21:55:42","Very disappointed.","1","4"
"2025-07-01 07:13:42","Did not like it.","3","1"
"2025-06-21 15:05:42","Did not like it.","0","4"
"2025-06-30 22:54:42","Regret attending.","1","2"
"2025-05-30 22:56:42","Terrible experience.","0","2"
"2025-05-30 05:45:42","Well organized.","5","3"
"2025-05-17 14:01:42","Bad event.","1","4"
"2025-04-29 02:35:42","Excellent session!","5","3"
"2025-06-12 08:07:42","Mediocre.","1","3"
"2025-05-11 15:37:42","Not happy.","1","6"
"2025-05-21 07:31:42","Fine overall.","1","1"
"2025-05-13 18:40:42","Average experience.","1","2"
"2025-06-26 23:27:42","Waste of time.","0","8"
"2025-05-18 23:50:42","Acceptable.","3","0"
"2025-05-09 16:28:42","Bad event.","2","9"
"2025-05-03 05:37:42","Not happy.","2","10"
"2025-06-22 03:41:42","Poorly organized.","3","2"
"2025-05-26 13:35:42","Very disappointed.","1","9"
"2025-05-06 22:49:42","Superb!","3","0"
"2025-07-03 11:37:42","It was okay.","0","3"
"2025-06-12 10:29:42","Waste of time.","0","9"
"2025-05-16 16:43:42","Regret attending.","3","7"
"2025-04-30 13:22:42","Poorly organized.","2","1"
"2025-06-23 17:34:42","Poorly organized.","2","4"
"2025-05-25 19:33:42","Did not like it.","0","5"
"2025-06-24 08:09:42","Unsatisfactory.","3","1"
"2025-06-07 01:36:42","Bad event.","3","8"
"2025-05-09 19:53:42","Not happy.","2","8"
"2025-05-26 07:59:42","Did not like it.","1","5"
"2025-05-17 20:34:42","Unsatisfactory.","3","8"
"2025-05-03 07:06:42","Not happy.","3","7"
"2025-06-07 12:55:42","Mediocre.","1","1"
"2025-05-10 13:23:42","Could be much better.","2","4"
"2025-05-24 10:49:42","Terrible experience.","1","9"
"2025-06-18 21:05:42","Bad event.","3","9"
"2025-06-16 05:36:42","Could be much better.","2","1"
"2025-04-30 01:55:42","Regret attending.","3","7"
"2025-06-07 16:41:42","Unsatisfactory.","2","1"
"2025-05-02 07:47:42","Did not like it.","3","1"
"2025-05-22 21:25:42","Enjoyed it a lot.","3","3"
"2025-06-26 16:40:42","Bad event.","0","3"
"2025-05-26 06:51:42","Bad event.","2","2"
"2025-06-16 05:56:42","Regret attending.","2","5"
"2025-05-08 20:39:42","Regret attending.","3","8"
"2025-06-14 16:23:42","Poorly organized.","1","3"
"2025-05-10 17:20:42","Poorly organized.","1","6"
"2025-04-29 16:52:42","Very disappointed.","3","6"
"2025-05-01 06:48:42","Poorly organized.","2","10"
"2025-06-23 07:03:42","Decent.","3","1"
"2025-05-31 13:35:42","Regret attending.","3","5"
"2025-06-23 16:03:42","Waste of time.","0","6"
"2025-06-14 00:47:42","Waste of time.","3","8"
"2025-06-17 07:29:42","Very disappointed.","0","3"
"2025-06-04 14:46:42","Not happy.","3","4"
"2025-06-03 06:23:42","Very disappointed.","2","6"
"2025-05-04 20:34:42","Waste of time.","2","7"
"2025-05-16 01:47:42","Poorly organized.","3","8"
"2025-06-07 13:19:42","Unsatisfactory.","2","9"
"2025-06-02 12:44:42","Poorly organized.","1","6"
"2025-05-15 07:36:42","Decent.","2","0"
"2025-05-19 10:39:42","Regret attending.","0","7"
"2025-05-10 05:30:42","Not happy.","3","5"
"2025-05-09 12:06:42","Terrible experience.","2","5"
"2025-05-23 01:58:42","Poorly organized.","3","2"
"2025-06-17 15:00:42","Regret attending.","2","10"
"2025-05-11 16:49:42","Very disappointed.","2","9"
"2025-04-28 01:26:42","Regret attending.","2","4"
"2025-05-18 22:18:42","Unsatisfactory.","1","5"
"2025-06-24 09:09:42","Very disappointed.","0","2"
"2025-05-21 22:38:42","Mediocre.","1","3"
"2025-05-15 17:36:42","Terrible experience.","0","3"
"2025-05-28 14:09:42","Terrible experience.","1","3"
"2025-06-30 02:57:42","Unsatisfactory.","2","8"
"2025-06-11 09:44:42","Not happy.","1","4"
"2025-06-19 02:02:42","Not happy.","3","4"
"2025-05-19 00:36:42","Could be much better.","1","1"
"2025-05-18 22:15:42","Bad event.","2","8"
"2025-06-08 00:10:42","Very disappointed.","2","3"
"2025-06-24 00:03:42","Very happy.","9","3"
"2025-05-21 07:42:42","Could be much better.","0","2"
"2025-05-11 08:12:42","Waste of time.","1","3"
"2025-06-15 07:44:42","Not happy.","2","7"
"2025-05-11 02:10:42","Mediocre.","3","0"
"2025-06-24 04:33:42","Great event!","3","1"
"2025-05-29 05:04:42","Poorly organized.","1","10"
"2025-05-20 17:03:42","Very disappointed.","3","4"
"2025-05-18 07:41:42","Impressive effort.","7","0"
"2025-05-20 22:46:42","Great event!","8","2"
"2025-04-29 08:51:42","Poorly organized.","2","1"
"2025-05-15 11:25:42","Waste of time.","0","3"
"2025-06-22 23:47:42","Poorly organized.","2","6"
"2025-05-20 23:14:42","Did not like it.","1","6"
"2025-06-10 19:35:42","Poorly organized.","2","1"
"2025-05-23 08:15:42","Bad event.","2","3"
"2025-05-06 04:17:42","Very disappointed.","2","4"
"2025-05-29 17:00:42","Could be much better.","2","10"
